status,project,additional,timePlayed
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:13:17Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:13:19Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:21:22Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:23:09Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:24:20Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:25:39Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:33:08Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:37:22Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:39:48Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:41:04Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:50:21Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:55:54Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:56:34Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T20:19:00Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T20:19:26Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T20:19:33Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T20:19:39Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T20:21:21Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T20:22:51Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T20:22:51Z
TERMOS_NAO_ACEITO,66f479e271aa00601b17fe4f,,2025-04-02T20:27:56Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-02T20:40:22Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:29:50Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:30:10Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:30:10Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:34:04Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:35:03Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:36:29Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:37:44Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:36:29Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:37:44Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:38:07Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:38:59Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:39:30Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:38:07Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:38:59Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:39:30Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:40:31Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:41:03Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:40:31Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:41:03Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:42:50Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:43:11Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:42:50Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-03T11:43:11Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:48:02Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:48:02Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:50:50Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:50:50Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:52:14Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:53:37Z
MOSTROU_FOTOS,66f479e271aa00601b17fe4f,,2025-04-03T11:52:14Z
